title,Production company,Country,Language,Budget,Box office,Release date,Directed by,profit,Sum_profit_by_directed,count_title_by_directed,genre
My Favorite Martian,Walt Disney Pictures,United States,English,65000000,36800000,1999-02-12,Donald Petrie,-28200000,-28200000,1,Comedy
National Treasure,"['Walt Disney Pictures', 'Jerry Bruckheimer Films', 'Junction Entertainment', 'Saturn Films']",United States,English,100000000,347500000,2004-11-19,Jon Turteltaub,247500000,825200000,5,Adventure
National Treasure: Book of Secrets,"['Walt Disney Pictures', 'Jerry Bruckheimer Films', 'Junction Entertainment', 'Saturn Films']",United States,English,130000000,459200000,2007-12-21,Jon Turteltaub,329200000,825200000,5,Adventure
Never Cry Wolf,"['Walt Disney Pictures', 'Amarok Productions Ltd.']",United States,"['English', 'Inuktitut']",11000000,27600000,1983-10-07,Carroll Ballard,16600000,16600000,1,Drama
Newsies,Walt Disney Pictures,United States,English,15000000,2800000,1992-04-10,Kenny Ortega,-12200000,246600000,3,Musical
Night at the Museum,"['21 Laps Entertainment', 'Ingenious Film Partners ( 1โ€“2 )', '1492 Pictures', 'Dune Entertainment ( 1โ€“2 )', 'TSG Entertainment ( 3 )', '20th Century Animation (4)', '20th Century Studios', 'Walt Disney Studios Motion Pictures']",United States,English,387000000,1310000000,,Shawn Levy,923000000,923000000,1,Fantasy
Oceans,"['Pathรฉ', 'Participant Media', 'Galatรฉe Films', 'Notro Films', 'France 2 Cinรฉma', 'France 3 Cinรฉma', 'Canal+', 'TPS Star', 'Alfred P. Sloan Foundation', 'Census of Marine Life']",France,French,80000000,82700000,2009-10-17,"['Jacques Perrin', 'Jacques Cluzaud', '(co-director)']",2700000,2700000,1,Documentary
Old Dogs,"['Walt Disney Pictures', 'Tapestry Films']",United States,English,35000000,96800000,2009-11-25,Walt Becker,61800000,61800000,1,Comedy
Oliver & Company,"['Walt Disney Pictures', 'Walt Disney Feature Animation', 'Silver Screen Partners III']",United States,English,31000000,121000000,1988-11-18,George Scribner,90000000,90000000,1,Adventure
One Hundred and One Dalmatians,Walt Disney Productions,United States,English,3600000,303000000,1961-01-25,"['Clyde Geronimi', 'Hamilton Luske', 'Wolfgang Reitherman']",299400000,299400000,1,Animation
Onward,"['Walt Disney Pictures', 'Pixar Animation Studios']",United States,English,175,141900000,2020-02-21,Dan Scanlon,141899825,685499825,2,Animation
Operation Dumbo Drop,"['Walt Disney Pictures', 'Interscope Communications', 'PolyGram Filmed Entertainment']",,"['English', 'Vietnamese']",24000000,24670346,1995-07-28,Simon Wincer,670346,670346,1,Adventure
Oz the Great and Powerful,,United States,English,200,493300000,2013-02-14,Sam Raimi,493299800,493299800,1,Adventure
Pete's Dragon,,United States,English,65000000,143700000,2016-08-08,David Lowery,78700000,78700000,1,Fantasy
Pete's Dragon,Walt Disney Productions,United States,English,10000000,36,1977-11-03,Don Chaffey,-9999964,-9999964,1,Fantasy
Peter Pan,Walt Disney Productions,United States,English,4000000,87400000,1953-02-05,"['Clyde Geronimi', 'Wilfred Jackson', 'Hamilton Luske']",83400000,269000000,3,Fantasy
Piglet's Big Movie,"['DisneyToon Studios', 'Walt Disney Pictures']",United States,English,46000000,62900000,2003-03-16,Francis Glebas,16900000,16900000,1,Comedy
Pinocchio,Walt Disney Productions,United States,English,2600000,164000000,1940-02-07,"['Ben Sharpsteen', 'Hamilton Luske', 'Bill Roberts', 'Norman Ferguson', 'Jack Kinney', 'Wilfred Jackson', 'T. Hee']",161400000,161400000,1,Adventure
Pirates of the Caribbean: At World's End,,United States,English,300000000,961000000,2007-05-19,Gore Verbinski,661000000,2276799775,4,Adventure
Pirates of the Caribbean: Dead Man's Chest,,United States,English,225000000,1066000000,2006-06-24,Gore Verbinski,841000000,2276799775,4,Adventure
